swc_node_id,neuron_section_index,source_section,source_region,parent_section,parent_x,depth,swc_type,prox_x,prox_y,prox_z,prox_diam,dist_x,dist_y,dist_z,dist_diam,length_um
221,219,p3b2b1b1b1[3],distDend,p3b2b1b1b1[2],1,13,4,5.776,-74.677,63.27,0.734,6.195,-79.596,68.864,0.734,7.46089525459
222,220,p3b1b2b2[4],distDend,p3b1b2b2[3],1,13,4,11.134,-94.879,25.86,0.755,14.906,-99.618,31.47,0.755,8.25579826546
223,221,p3b1b2b1[4],distDend,p3b1b2b1[3],1,13,4,-20.078,-91.695,49.674,0.748,-20.902,-98.022,52.612,0.748,7.02436822782
224,222,p2b1b2b2[2],distDend,p2b1b2b2[1],1,13,4,-68.14,-27.443,19.395,0.935,-74.158,-29.892,17.544,0.935,6.75574762702
225,223,p2b1b2b1b2[1],distDend,p2b1b2b1b2[0],1,13,4,-54.886,-36.318,13.605,0.899,-55.128,-42.739,14.467,0.899,6.48312031355
226,224,p2b1b1b2[7],distDend,p2b1b1b2[6],1,13,4,-27.601,-59.635,46.251,1.087,-25.602,-66.031,53.265,1.087,9.7005676638
227,225,p1b2b2b2b2[1],distDend,p1b2b2b2b2[0],1,13,4,6.431,45.827,65.939,0.543,8.049,42.177,71.037,0.543,6.47533999107
228,226,p1b2b2b1[3],distDend,p1b2b2b1[2],1,13,4,-18.694,53.126,74.208,0.611,-22.154,51.147,81.933,0.611,8.6927363931
229,227,p1b2b1b2[4],distDend,p1b2b1b2[3],1,13,4,19.88,67.5,60.735,0.876,25.203,69.013,63.965,0.876,6.40752666791
230,228,p1b2b1b1b2[2],distDend,p1b2b1b1b2[1],1,13,4,-4.4,87.938,70.56,0.81,-3.72,92.61,78.075,0.81,8.87497656335
231,229,p1b2b1b1b1b2[0],distDend,p1b2b1b1b1[1],1,13,4,-9.53,91.69,63.96,1.148,-6.895,98.815,71.011,1.148,10.3646249812
232,230,p1b2b1b1b1b1[0],distDend,p1b2b1b1b1[1],1,13,4,-9.53,91.69,63.96,0.47,-5.12,93.3,66.855,0.47,5.51554394416
233,231,p1b1b2b2[1],distDend,p1b1b2b2[0],1,13,4,-38.449,91.923,48.246,0.939,-41.195,98.342,50.175,0.939,7.24328088645
234,232,p1b1b2b1[1],distDend,p1b1b2b1[0],1,13,4,-42.805,83.561,44.235,0.976,-50.47,80.734,42.87,0.976,8.28295714102
235,233,p1b1b1b2[1],distDend,p1b1b1b2[0],1,13,4,-38.91,63.6,64.421,0.58,-40.93,59.44,72.3,0.58,9.13589847798
236,234,p1b1b1b1[1],distDend,p1b1b1b1[0],1,13,4,-42.803,63.001,52.074,0.895,-48.95,64.083,49.611,0.895,6.70989582632
237,235,p0b2b2b2[6],distDend,p0b2b2b2[5],1,13,4,-18.283,75.766,55.965,0.733,-25.147,81.111,55.965,0.733,8.69962763571
238,236,p0b2b2b1b2b2[2],distDend,p0b2b2b1b2b2[1],1,13,4,-10.673,59.987,75.348,1.363,-12.416,63.626,82.314,1.363,8.05018794812
239,237,p0b2b2b1b2b1[2],distDend,p0b2b2b1b2b1[1],1,13,4,1.705,52.377,75.87,0.7,4.07,53.97,82.5,0.7,7.21718601672
240,238,p0b2b1b2[9],distDend,p0b2b1b2[8],1,13,4,11.039,105.62,39.002,1.02,12.286,113.38,40.995,1.02,8.10830796159
241,239,p0b2b1b1b2[4],distDend,p0b2b1b1b2[3],1,13,4,-75.571,59.977,38.1,1.05,-79.36,63.02,44.91,1.05,8.36615024967
242,240,p0b1b2b2b2[4],distDend,p0b1b2b2b2[3],1,13,4,2.581,101.75,30.795,0.538,2.161,108.49,30.795,0.538,6.7530733744
243,241,p0b1b2b2b1b2b2[0],distDend,p0b1b2b2b1b2[2],1,13,4,24.65,101.37,39.975,1.018,30.889,101.01,40.923,1.018,6.32087217083
244,242,p0b1b2b2b1b2b1[0],distDend,p0b1b2b2b1b2[2],1,13,4,24.65,101.37,39.975,1.189,25.393,109.84,38.991,1.189,8.55927596237
